id,word
1,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
2,the <unk> <eos> N to of a in and 's for that $ is it said on by at as
3,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
4,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
5,the <unk> <eos> N of to a in and 's for that $ is it said on at by as
6,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
7,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
8,the <unk> <eos> N to of a 's in and is was for that will has $ said would it
9,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
10,the <unk> <eos> N a to of in and that 's n't for $ is it said on at as
11,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
12,the <unk> <eos> N a of to in and 's that for $ is its it new said an on
13,the <unk> <eos> N a of to in and $ 's that for is it its said on at as
14,the <unk> <eos> N of to a in and 's for that $ is n't it said on at by
15,the <unk> <eos> N to of a in and 's for that $ is it said on by at as
16,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
17,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
18,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
19,the <unk> <eos> N of to a in and 's for that $ is it said on board by as
20,the <eos> <unk> N of to a in and 's for that is on $ at it said as by
21,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
22,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
23,the <unk> <eos> N of to a in and 's that for is $ it said on at by as
24,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
25,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
26,the <unk> <eos> N of to a in and 's that for $ is it said on at as by
27,the <unk> <eos> N a to of in and 's that for $ is n't it said on at as
28,the <unk> <eos> N of to a in and is 's for that $ it has said was on are
29,the <unk> <eos> N of to a in and 's for that is $ said it on by at as
30,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
31,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
32,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
33,the <unk> <eos> N a of to in and 's that for $ is its it new said an on
34,the <unk> <eos> N of to a in and 's for that exchange is market $ it said on at
35,the <unk> <eos> N of to a in and 's that for $ is it said on at by as
36,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
37,the <unk> <eos> N of to a in and 's for that exchange is market $ it said on at
38,the <unk> <eos> N of to a in and 's for that $ is it said on at its by
39,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
40,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
41,the <unk> <eos> N of to a in and 's that for $ is it said on at by as
42,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
43,the <unk> <eos> N of to a in and 's for that $ is it said on at its by
44,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
45,the <unk> N <eos> a of to in and $ be 's that for is it said on have mr.
46,<unk> the <eos> N of to a in and 's that for $ is it said on by at as
47,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
48,<unk> the <eos> N a to of in and that 's for $ is it said on mr. its at
49,the <unk> <eos> N a of to in and 's that for $ is it said its on at by
50,the <unk> <eos> N of to a in and 's that for $ is it said on at by as
51,the <unk> <eos> N of to a in and 's that for $ is it said on jones at by
52,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
53,the <unk> N <eos> a of to in and $ be 's that for is it said on have mr.
54,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
55,the <unk> <eos> N a to of in and that 's n't for $ is it said on at as
56,the <unk> N <eos> a of to in and $ be 's that for is it said on have mr.
57,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
58,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
59,the <unk> <eos> N of to a and in 's said for that is $ it on as by at
60,the <unk> <eos> N a of to in and 's that for $ is it said its on at by
61,the <unk> N <eos> a of to in and $ be 's that for is it said on have mr.
62,the <unk> <eos> N of to a in and for 's that $ is it said on by from as
63,N <eos> the <unk> to million of a in and billion for 's that is $ on from it said
64,the <unk> <eos> N of to a in and $ 's that for is it said on by at as
65,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
66,<unk> <eos> the N of to and a in 's for that is said $ on by it with at
67,the <unk> <eos> N of to a in and 's that for $ is it said on at as by
68,the <unk> <eos> N of to a be in and 's that for $ is it said have on by
69,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
70,the <unk> <eos> N of to a in and 's that for $ is it said on at by as
71,the <unk> <eos> N of to a in and 's that for is $ it said on at by as
72,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
73,N <eos> the <unk> to million of a in and billion for 's that is $ on from it said
74,the <unk> <eos> N of to a in and 's that for $ is it said on million by at
75,<unk> the <eos> N a to of in and that 's for $ is it said on mr. its at
76,<unk> the <eos> N a to of in and that 's for $ is it said on mr. its at
77,the <unk> <eos> N of to a in and 's that for $ is it said on at by as
78,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
79,<eos> the <unk> N of to in a and or for from 's that $ is on it said shares
80,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
81,the <unk> <eos> N of to a and in 's for that said is $ it on at as by
82,<unk> the <eos> N of to a in and 's that for $ is it said on by at as
83,the <unk> <eos> N of to a in and 's for that $ is said it on at by as
84,<unk> the <eos> N a to of in and that 's for $ is it said on mr. its at
85,<unk> the <eos> N a to of in and that 's for $ is it said on mr. its at
86,the <unk> <eos> N a of to $ in and 's that for is it said on its by at
87,the <unk> <eos> N of to a in and 's that for is $ it said on by at as
88,the <unk> <eos> N a of to in and 's that for $ is its it new said an on
89,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
90,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
91,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
92,<unk> the <eos> N of to a and in 's that for $ is said it on at mr. by
93,the <unk> <eos> N a of to in and 's that for $ is its it new said an on
94,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
95,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
96,the <unk> <eos> N a to of in and 's that for $ is n't it said on at as
97,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
98,the <unk> <eos> N of to a in and 's that for is $ it said on as at by
99,N the <unk> <eos> of to a in and 's that for $ is it said on by at as
100,the <unk> <eos> N of to a in and that 's for $ is said it on by at as
101,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
102,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
103,the <unk> <eos> N a of to in and 's that for $ is it said on mr. at as
104,<unk> the <eos> N of to a in and company 's that for $ is it said new u.s. on
105,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
106,the <unk> <eos> N of to a in and 's for that $ is it said on by at as
107,the <unk> <eos> N of to a in and 's that for $ is it said on by at as
108,N <eos> the <unk> to million of a in and billion for 's that is $ on from it said
109,the <unk> <eos> N a of to $ in and 's that for is it said on its by at
